Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Guest Houses,GOMEZ PLACE,"NO:22/6B,PORUTHOTA ROAD,ETTUKALA,NEGAMBO",11,B,Gampaha,Negombo,Negombo Divisional Secretariat,79.843826,7.240576
Guest Houses,HOTEL ALAKAMANDA,"NO:11/1,NAGASENA MAWATHA,ANURADHAPURA",6,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.417471,8.308622
Guest Houses,DECO ON FORTY FOUR,"NO:44,LIGHT HOUSE STREET,FORT,GALLE",7,A,Galle,Galle,Galle Divisional Secretariat,80.216486,6.026811
Guest Houses,BANDAGIRI VILLAGE ECO RESORTS,"GONNORUWA ROAD,HAMBANTOTA",22,A,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.142757,6.234207
Guest Houses,CEYBANK REST - KATARAGAMA,"TISSAMAHARAMA ROAD,KATARAGAMA.",26,A,Moneragala,Katharagama,Katharagama Divisional Secretariat,81.330985,6.412627
Guest Houses,SEA MOON GARDEN GUEST HOUSE,"KALMUNAI ROAD, MAIN STREET, KIRANKULAM 06 NORTH, BATTICALOA",7,A,Batticaloa,Null,Manmunai Pattu Divisional Secretariat,81.763094,7.613703
Guest Houses,SUN RISE GUEST,UDAKALAGAMA.POLONNARUWA ROAD.HABARANA,6,C,Polonnaruwa,Hingurakgoda Pradeshiya Sabha,Hingurakgoda Divisional Secretariat,80.747548,8.027473
Guest Houses,REST HOUSE - BOGAWANTALAWA,"11O.MAIN STREET,BOGAWANTALAWA",3,B,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Ginigathhena,80.678775,6.795292
Guest Houses,DALAWELLA BEACH RESORT,NO448.DALAWELLA.UNAWATUNA,8,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.259485,6.002037
Guest Houses,SARANGA HOLIDAY INN,37.ELLA ROAD.WELLAWAYA.,10,A,Moneragala,Wellawaya,Wellawaya Divisional Secretariat,81.100217,6.733045
Guest Houses,SAYURIMA HOTEL & GUEST HOUSE,"GOVIYAPANA, AHANGAMA",7,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.380499,5.965326
Guest Houses,MANDARA ROYAL RESORT,"253, HORAGOLLA, NITTAMBUWA",5,B,Gampaha,Attanagalla Pradeshiya Sabha,Attanagalla Divisional Secretariat,80.08492,7.134154
Guest Houses,COPPENRATH GUEST HOUSE & RESTAURENT,NO 61 A.WIJAYA ROAD.TANGALLE,6,B,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.800652,6.032977
Guest Houses,THUSHARA RESTAURANT & GUEST HOUSE,NO 02.NUWARAELIYA RD.WELIMADA.,6,B,Badulla,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,80.912443,6.907542
Guest Houses,ROYAL GARDEN RESTAURANT,"903/18, WILLIOM GOPALLAWA MAWATHA, KANDY",25,A,Kandy,Gagawata Koralya,Gagawata,80.61308,7.274373
Guest Houses,PANORAMA HOTEL,"9/3, NAOTUNNA, TALALLA",7,A,Matara,Devinuwara Pradeshiya Sabha,Devinuwara Divisional Secretariat,80.630098,5.946184
Guest Houses,AMILA GUEST HOUSE,"NO 5,LOVE LANE.CROSS ROAD,UPPUWELI,TRINCOMALEE",5,C,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.215846,8.594559
Guest Houses,PARADISE RESORT,"15/ 8 A, DANGOLLA ROAD, GATAMBE,KANDY",18,C,Kandy,Kandy,GANGAWATA KORALAYA,80.608277,7.270056
Guest Houses,DELMAR MOUNT VIEW HOTEL,"NO :213/7, ALADENIYA, WERELLAGAM, KANDY",8,A,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.565804,7.337839
Guest Houses,DELTHOTA VILLAGE,"154, BOPITIYA ROAD, DELTOTA",8,B,Kandy,Pathahewaheta,Pathahewaheta Divisional Secretariat,80.699216,7.174126
Guest Houses,HOTEL BINOTA,NO 21. BONAVISTA ROAD. KELEGALA. NUWARA ELIYA,9,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.774704,6.955417
Guest Houses,NETHMINI GUEST & REST,"1ST MILE POST ,AMPARA ROAD,SIYABALANDUWA",15,C,Moneragala,Ampara,Moneragala Divisional Secretariat,81.558596,6.918292
Guest Houses,CHOYS WATER FRONT RESIDENCE,"NO31,CUSTOM HOUSE ROAD,NEGOMBO",8,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.835564,7.208541
Guest Houses,NONAGAMA VILLAGE TOURIST GUEST HOUSE,"NO 275,TANGALLE ROAD,EKKASSE,AMBALANTOTA",7,B,Hambantota,Ambalantota Pradeshiya Sabha,Ambalantota Divisional Secretariat,80.992906,6.114312
Guest Houses,THE HAVELOCK PLACE BUNGLOW,"NO 6 & 8,HAVELOCK PLACE,COLOMBO 05",7,A,Colombo,Colombo,Colombo Divisional Secretariat,79.865045,6.885259
Guest Houses,GODAGAMA REACH HOTEL,"NO23/3,SAMANALA UYANA, PADUKKA ROAD,GODAGAMA,MEEGODA",18,A,Colombo,Homagama Pradeshiya Sabha,Homagama Divisional Secretariat,80.035188,6.84855
Guest Houses,COCOON SEA RESORT,"NO 903,GALLE ROAD,DUWE MADARA,KOSGODA",7,A,Galle,balapitiya,Balapitiya Divisional Secretariat,80.022195,6.348125
Guest Houses,POWER ZONE GUEST HOUSE,"NO743/1,MATALE ROAD,ALAWATUGODA",5,B,Kandy,Akurana Pradeshiya Sabha,Akurana Divisional Secretariat,80.612297,7.403021
Guest Houses,GIRAGALA VILLAGE RESTAURENT,"BANDARAMULLA,MIRISSA",17,B,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.462675,5.943054
Guest Houses,SHANGHAI,"SHANGHAI ENTERPRISES,NO 12,FIRST LANE,ANGULANA STATION ROAD,MORATUWA",5,A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.881909,6.802403
Guest Houses,MOUNT WAVES HOTEL,"NO 17-19, DE SERAM ROAD,MOUNT LAVINIA",9,B,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.86475,6.840511
Guest Houses,DICKWELLA BEACH HOTEL,"NO.112, MAHAWELA ROAD, DICKWELLA",15,B,Matara,Dickwella,Dickwella Divisional Secretariat,80.69762,5.964324
Guest Houses,INDRA HOTEL,"174/3,NADUNA WATTA,RAGAMA ROAD,KADAWATHA",19,B,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.950605,7.002975
Guest Houses,RUWALA RESORT,"KALPITIYA ROAD,THIHALIYA,ETHTHALE",6,B,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.735411,8.109541
Guest Houses,THE ICEBEAR GUEST HOUSE,"95,LEWIS PLACE, NEGOMBO",8,C,Gampaha,Negombo,Negombo Divisional Secretariat,79.840137,7.224388
Guest Houses,HANSA HOLIDAY REST,"NO 5/1, WEWALA KANDA, WEWALA - HORANA",15,A,Kalutara,Horana Pradeshiya Sabha,Horana Divisional Secretariat,80.068375,6.701054
Guest Houses,INDRANS,"40/5, RAILWAY STATION ROAD, VAVUNIYA",6,C,Vavuniya,Vavuniya,Vavuniya,80.494198,8.752929
Guest Houses,NIPPON VILLA BEACH RESORT,"NO.412/D, GALLE ROAD, WEWALA, HIKKADUWA",26,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.103424,6.128514
Guest Houses,HOTEL ASHFORD - NUWARA ELIYA,"WELIMADA ROAD, SEETHA ELIYA, NUWARA ELIYA",20,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.806478,6.934051
Guest Houses,DIYA ULPATHA TEA GARDEN RESORT,"MAWATHAGODA ROAD,HORAVALA",5,B,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,80.129562,6.472226
Guest Houses,SANOREECH HOTEL,"NO :391/1 ,CHILAW ROAD,DALUPOTHA,NEGOMBO",5,A,Gampaha,Kundasle,Negombo Divisional Secretariat,79.850068,7.225966
Guest Houses,SAPTHAPADHI,"NO:35, COLOMBO ROAD,MALANGAMA,RATNAPURA",14,A,Ratnapura,Ratnapura,Balangoda Divisional Secretariat,80.383669,6.732908
Guest Houses,M.P.S.VILLAGE,"KALUNDEWA ROAD, DAMBULU OYA JUNCTION, DAMBULLA",12,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.677775,7.798769
Guest Houses,"AARYA LAGOON ,KALPITIYA","KALPITIYA ROAD,MAMPURI",5,A,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.742325,7.995629
Guest Houses,WHITE HOUSE HOLIDAY INN,"15/4,BUTTHALA ROAD,PANGUWATTA GAMA,PASSARA",6,A,Badulla,Badulla,Passara Divisional Secretariat,81.162021,6.933551
Guest Houses,MANOMA LEISURE VILLAGE,"NO 165/11 , UPPER LAKE ROAD , NUWARA ELIYA",12,B,Nuwara Eliya,Sri Jayawardenapura-Kotte,Nuwara Eliya Divisional Secretariat,80.785329,6.957035
Guest Houses,SEA BREEZE RESTAURANT & GUEST INN,"430,BEACH ROAD,SAINTHAMARUTHU",7,C,Ampara,Kalmunai,Sainthamarathu Divisional Secretariat,81.840089,7.408089
Guest Houses,SEVEN ELEVEN HOTEL,"NO:269/L,ARALIYA UYANA,HOKANDARA ROAD,THALAWATHUGODA",11,A,Colombo,Maharagama,Maharagama Divisional Secretariat,79.94153,6.879555
Guest Houses,PANWILA CABANAS,"CINNAMON NR.030,PANWILA,80240,HIKKADUWA",6,C,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.123665,6.132364
